Date,Tmax,Month
1-Jan-2020,11.5,January
2-Jan-2020,8.5,January
3-Jan-2020,18,January
4-Jan-2020,21.5,January
5-Jan-2020,20.5,January
6-Jan-2020,12,January
7-Jan-2020,11,January
8-Jan-2020,16.5,January
9-Jan-2020,18,January
10-Jan-2020,19,January
11-Jan-2020,18,January
12-Jan-2020,17.5,January
13-Jan-2020,14,January
14-Jan-2020,13.5,January
15-Jan-2020,15.5,January
16-Jan-2020,18,January
17-Jan-2020,19.5,January
18-Jan-2020,19.5,January
19-Jan-2020,19.5,January
20-Jan-2020,21.5,January
21-Jan-2020,17.5,January
22-Jan-2020,18.5,January
23-Jan-2020,19.5,January
24-Jan-2020,22.5,January
25-Jan-2020,23.5,January
26-Jan-2020,22,January
27-Jan-2020,21.5,January
28-Jan-2020,16,January
29-Jan-2020,19.5,January
30-Jan-2020,18.5,January
31-Jan-2020,21.5,January
1-Feb-2020,21,February
2-Feb-2020,23,February
3-Feb-2020,23,February
4-Feb-2020,22,February
5-Feb-2020,18.5,February
6-Feb-2020,21,February
7-Feb-2020,22.5,February
8-Feb-2020,23.5,February
9-Feb-2020,24,February
10-Feb-2020,21.5,February
11-Feb-2020,23,February
12-Feb-2020,19.5,February
13-Feb-2020,20,February
14-Feb-2020,25,February
15-Feb-2020,28,February
16-Feb-2020,30,February
17-Feb-2020,29,February
18-Feb-2020,30,February
19-Feb-2020,29,February
20-Feb-2020,26.5,February
21-Feb-2020,22,February
22-Feb-2020,26,February
23-Feb-2020,27,February
24-Feb-2020,28,February
25-Feb-2020,27,February
26-Feb-2020,28.5,February
27-Feb-2020,28,February
28-Feb-2020,28,February
29-Feb-2020,20.5,February
1-Mar-2020,22,March
2-Mar-2020,24.5,March
3-Mar-2020,28,March
4-Mar-2020,28,March
5-Mar-2020,18.5,March
6-Mar-2020,19.5,March
7-Mar-2020,17,March
8-Mar-2020,19,March
9-Mar-2020,21,March
10-Mar-2020,25,March
11-Mar-2020,26,March
12-Mar-2020,16,March
13-Mar-2020,14.5,March
14-Mar-2020,20.5,March
15-Mar-2020,23.5,March
16-Mar-2020,26.5,March
17-Mar-2020,27,March
18-Mar-2020,27.5,March
19-Mar-2020,28.5,March
20-Mar-2020,29.5,March
21-Mar-2020,27.5,March
22-Mar-2020,27.5,March
23-Mar-2020,28.5,March
24-Mar-2020,23.5,March
25-Mar-2020,24,March
26-Mar-2020,23.5,March
27-Mar-2020,23.5,March
28-Mar-2020,20.5,March
29-Mar-2020,25,March
30-Mar-2020,27.5,March
31-Mar-2020,27.5,March
1-Apr-2020,18,April
2-Apr-2020,24,April
3-Apr-2020,26.5,April
4-Apr-2020,29,April
5-Apr-2020,30.5,April
6-Apr-2020,31.5,April
7-Apr-2020,30,April
8-Apr-2020,29,April
9-Apr-2020,31,April
10-Apr-2020,32,April
11-Apr-2020,31,April
12-Apr-2020,35,April
13-Apr-2020,36.5,April
14-Apr-2020,37.5,April
15-Apr-2020,34,April
16-Apr-2020,33.5,April
17-Apr-2020,33.5,April
18-Apr-2020,25.5,April
19-Apr-2020,25.5,April
20-Apr-2020,31.5,April
21-Apr-2020,31.7,April
22-Apr-2020,33,April
23-Apr-2020,36,April
24-Apr-2020,36,April
25-Apr-2020,37,April
26-Apr-2020,34,April
27-Apr-2020,36,April
28-Apr-2020,35,April
29-Apr-2020,34,April
30-Apr-2020,35.5,April
1-May-2020,37,May
2-May-2020,39,May
3-May-2020,38,May
4-May-2020,33,May
5-May-2020,35,May
6-May-2020,36,May
7-May-2020,37.5,May
8-May-2020,36.5,May
9-May-2020,37,May
10-May-2020,39.5,May
11-May-2020,39.5,May
12-May-2020,38.5,May
13-May-2020,35,May
14-May-2020,36,May
15-May-2020,33.5,May
16-May-2020,34,May
17-May-2020,37,May
18-May-2020,38.5,May
19-May-2020,38.5,May
20-May-2020,38,May
21-May-2020,40.5,May
22-May-2020,42.5,May
23-May-2020,44,May
24-May-2020,43.5,May
25-May-2020,42.5,May
26-May-2020,44,May
27-May-2020,46,May
28-May-2020,44.5,May
29-May-2020,44,May
30-May-2020,38,May
31-May-2020,36,May
1-Jun-2020,35.5,June
2-Jun-2020,36.5,June
3-Jun-2020,35,June
4-Jun-2020,35,June
5-Jun-2020,38,June
6-Jun-2020,39,June
7-Jun-2020,38.5,June
8-Jun-2020,39,June
9-Jun-2020,41,June
10-Jun-2020,39.5,June
11-Jun-2020,42.5,June
12-Jun-2020,41.5,June
13-Jun-2020,42.5,June
14-Jun-2020,38.5,June
15-Jun-2020,42.5,June
16-Jun-2020,42.5,June
17-Jun-2020,44.5,June
18-Jun-2020,46,June
19-Jun-2020,44,June
20-Jun-2020,42,June
21-Jun-2020,43,June
22-Jun-2020,42,June
23-Jun-2020,44,June
24-Jun-2020,44,June
25-Jun-2020,38,June
26-Jun-2020,39.5,June
27-Jun-2020,41,June
28-Jun-2020,39,June
29-Jun-2020,38,June
30-Jun-2020,36,June
1-Jul-2020,40.5,July
2-Jul-2020,42,July
3-Jul-2020,44.5,July
4-Jul-2020,44.5,July
5-Jul-2020,44,July
6-Jul-2020,37,July
7-Jul-2020,40,July
8-Jul-2020,42,July
9-Jul-2020,41,July
10-Jul-2020,41,July
11-Jul-2020,42,July
12-Jul-2020,40.5,July
13-Jul-2020,36,July
14-Jul-2020,39.5,July
15-Jul-2020,42.5,July
16-Jul-2020,44.5,July
17-Jul-2020,39,July
18-Jul-2020,41,July
19-Jul-2020,41.5,July
20-Jul-2020,43,July
21-Jul-2020,38,July
22-Jul-2020,34,July
23-Jul-2020,35,July
24-Jul-2020,39,July
25-Jul-2020,39.5,July
26-Jul-2020,39.5,July
27-Jul-2020,40.5,July
28-Jul-2020,41.5,July
29-Jul-2020,42,July
30-Jul-2020,43,July
31-Jul-2020,36.5,July
1-Aug-2020,40.5,August
2-Aug-2020,40.5,August
3-Aug-2020,42,August
4-Aug-2020,43,August
5-Aug-2020,40.5,August
6-Aug-2020,42.5,August
7-Aug-2020,41,August
8-Aug-2020,41,August
9-Aug-2020,43,August
10-Aug-2020,43,August
11-Aug-2020,41,August
12-Aug-2020,40.5,August
13-Aug-2020,43,August
14-Aug-2020,43.5,August
15-Aug-2020,37,August
16-Aug-2020,39,August
17-Aug-2020,41.5,August
18-Aug-2020,43.5,August
19-Aug-2020,43,August
20-Aug-2020,41.5,August
21-Aug-2020,29.5,August
22-Aug-2020,37,August
23-Aug-2020,37.5,August
24-Aug-2020,40,August
25-Aug-2020,40,August
26-Aug-2020,41,August
27-Aug-2020,32,August
28-Aug-2020,33.5,August
29-Aug-2020,35,August
30-Aug-2020,37.5,August
31-Aug-2020,39.5,August
1-Sep-2020,30.5,September
2-Sep-2020,24.5,September
3-Sep-2020,31,September
4-Sep-2020,31.5,September
5-Sep-2020,33.5,September
6-Sep-2020,35.5,September
7-Sep-2020,37.5,September
8-Sep-2020,36.5,September
9-Sep-2020,40,September
10-Sep-2020,39,September
11-Sep-2020,39,September
12-Sep-2020,38.5,September
13-Sep-2020,38,September
14-Sep-2020,40,September
15-Sep-2020,40.5,September
16-Sep-2020,39,September
17-Sep-2020,39.5,September
18-Sep-2020,41,September
19-Sep-2020,40,September
20-Sep-2020,40,September
21-Sep-2020,39.5,September
22-Sep-2020,39.5,September
23-Sep-2020,40.5,September
24-Sep-2020,39.5,September
25-Sep-2020,39,September
26-Sep-2020,38,September
27-Sep-2020,36,September
28-Sep-2020,37,September
29-Sep-2020,37.5,September
30-Sep-2020,36.5,September
1-Oct-2020,37,October
2-Oct-2020,37,October
3-Oct-2020,40,October
4-Oct-2020,38,October
5-Oct-2020,38,October
6-Oct-2020,37.5,October
7-Oct-2020,38.5,October
8-Oct-2020,37,October
9-Oct-2020,37,October
10-Oct-2020,37,October
11-Oct-2020,36,October
12-Oct-2020,37,October
13-Oct-2020,36,October
14-Oct-2020,34.5,October
15-Oct-2020,36.5,October
16-Oct-2020,36,October
17-Oct-2020,35,October
18-Oct-2020,34.5,October
19-Oct-2020,34.5,October
20-Oct-2020,36,October
21-Oct-2020,33.5,October
22-Oct-2020,33,October
23-Oct-2020,33,October
24-Oct-2020,32.5,October
25-Oct-2020,33,October
26-Oct-2020,30.5,October
27-Oct-2020,33,October
28-Oct-2020,34,October
29-Oct-2020,32,October
30-Oct-2020,31,October
31-Oct-2020,30.5,October
1-Nov-2020,32,November
2-Nov-2020,34,November
3-Nov-2020,34,November
4-Nov-2020,32.5,November
5-Nov-2020,31.5,November
6-Nov-2020,30,November
7-Nov-2020,31.5,November
8-Nov-2020,33,November
9-Nov-2020,29.5,November
10-Nov-2020,29.5,November
11-Nov-2020,26.5,November
12-Nov-2020,27,November
13-Nov-2020,27,November
14-Nov-2020,26.5,November
15-Nov-2020,20.5,November
16-Nov-2020,19,November
17-Nov-2020,21,November
18-Nov-2020,24,November
19-Nov-2020,26,November
20-Nov-2020,25,November
21-Nov-2020,23.5,November
22-Nov-2020,25,November
23-Nov-2020,19,November
24-Nov-2020,20,November
25-Nov-2020,20.5,November
26-Nov-2020,17,November
27-Nov-2020,22,November
28-Nov-2020,26,November
29-Nov-2020,28,November
30-Nov-2020,27,November
1-Dec-2020,28,December
2-Dec-2020,27,December
3-Dec-2020,30,December
4-Dec-2020,28.5,December
5-Dec-2020,24.5,December
6-Dec-2020,22.5,December
7-Dec-2020,25,December
8-Dec-2020,25,December
9-Dec-2020,19.5,December
10-Dec-2020,24.5,December
11-Dec-2020,24.5,December
12-Dec-2020,17.5,December
13-Dec-2020,18.5,December
14-Dec-2020,20.5,December
15-Dec-2020,16,December
16-Dec-2020,17,December
17-Dec-2020,20,December
18-Dec-2020,22,December
19-Dec-2020,23,December
20-Dec-2020,23,December
21-Dec-2020,23.5,December
22-Dec-2020,26,December
23-Dec-2020,25.5,December
24-Dec-2020,23.5,December
25-Dec-2020,23,December
26-Dec-2020,23,December
27-Dec-2020,22.5,December
28-Dec-2020,19,December
29-Dec-2020,17,December
30-Dec-2020,20,December
31-Dec-2020,22,December
